detailed,ASCL3_regulon,ATF3_regulon,ATF4_regulon,ATF6_regulon,BACH1_regulon,BACH2_regulon,CEBPB_regulon,CEBPD_regulon,EHF_regulon,ELF3_regulon,FOS_regulon,FOSL1_regulon,FOSL2_regulon,FOXJ1_regulon,GATA3_regulon,HES1_regulon,IRF1_regulon,IRF7_regulon,IRF8_regulon,JUN_regulon,JUNB_regulon,KLF15_regulon,KLF4_regulon,KLF5_regulon,KLF6_regulon,MAFB_regulon,MEF2C_regulon,MYB_regulon,NFKB1_regulon,NFKB2_regulon,NKX2-1_regulon,NR4A1_regulon,NR4A2_regulon,NR4A3_regulon,REL_regulon,RELA_regulon,RELB_regulon,SOX2_regulon,SPDEF_regulon,STAT1_regulon,STAT2_regulon,STAT3_regulon,XBP1_regulon,CEBPA_regulon,EOMES_regulon,GATA2_regulon,IRF3_regulon,LEF1_regulon,MEF2A_regulon,NOTCH1_regulon,RUNX3_regulon,SPI1_regulon,TP63_regulon,EBF1_regulon,HES6_regulon,TCF7_regulon,TBX21_regulon,IRF9_regulon,PAX5_regulon
Early Response Secretory Cells,0.011062419,0.31716463,0.26652697,0.062831014,0.041254893,0.0014117007,0.033530448,0.24401043,0.20896672,0.2660248,0.18820423,0.031392343,0.17063963,0.07082841,0.007441061,0.40397608,0.12641126,0.070775986,0.009819705,0.20805436,0.2612775,0.0011515877,0.34163943,0.25529143,0.27341345,0.09201675,0.0009356242,0.019844932,0.020054372,0.10063202,0.004901914,0.25623575,0.10697194,0.048785992,0.10147912,0.03609091,0.029333623,0.054804046,0.23468769,0.12184624,0.033343412,0.11379752,0.21885101,0.00043497173,0.001084167,0.0024593303,0.015382122,0.0011907351,0.04276903,0.040225968,0.042561114,0.027093736,0.09016181,0.0012548935,0.00604154,0.0013281861,0.0067725093,0.0005134841,0.00029752066
Early Response T Cells,0.004839402,0.2774046,0.22705795,0.0403208,0.04586063,0.000795834,0.030153044,0.049696695,0.08183177,0.083324455,0.14373946,0.017032517,0.10668945,0.015289792,0.003761727,0.113343544,0.10157378,0.014363173,0.07015662,0.16938145,0.1936361,0.00095484173,0.15897718,0.01794721,0.40388218,0.10478255,0.0006344411,0.015066386,0.079112336,0.026408808,0.0035502464,0.2917109,0.29064557,0.26999405,0.12000955,0.013118939,0.009026078,0.01578669,0.015488551,0.05778184,0.011543965,0.04707744,0.020979488,0.00038161868,0.023826523,0.0019430752,0.005215853,0.0008125298,0.033616237,0.034553584,0.2481571,0.07249483,0.030475432,0.0007036095,0.006236286,0.00095285417,0.10768444,0.00040705994,0.00041063764
Enteroendocrine Cells,0.031967264,0.01851733,0.030507062,0.02021502,0.024553915,0.019428754,0.006222721,0.02478498,0.022605905,0.015057766,0.027442234,0.012394096,0.008193197,0.026896663,0.0043966626,0.027140565,0.04546855,0.012259307,0.010728498,0.028360076,0.033064827,0.011460206,0.00923941,0.02084724,0.015587292,0.0129492935,0.012769577,0.028931322,0.0133311935,0.015192555,0.04318357,0.01889923,0.015410784,0.013084082,0.018372914,0.011880616,0.01605905,0.016752247,0.02317715,0.038116172,0.006960847,0.029335687,0.025333762,0.0036521184,0.014881258,0.03140244,0.021174582,0.01657253,0.014274711,0.02211489,0.02279525,0.022894736,0.011928755,0.02029204,0.0059884465,0.015314506,0.013889602,0.051498715,0.011498717
FFAR4 high Macrophages,0.030328948,0.11891447,0.12160526,0.056993417,0.09419079,0.0010855263,0.12808552,0.036736842,0.11609211,0.101789474,0.04414474,0.0007828947,0.09080263,0.0068947366,0.0038421054,0.061013155,0.0692171,0.018335527,0.21870394,0.05574342,0.11394737,0.00048026317,0.06268421,0.016697368,0.24640131,0.28196055,6.578948e-05,0.008230263,0.20384869,0.024631578,0.0065855263,0.10177632,0.120953955,0.13100657,0.10839474,0.007013158,0.0051513156,0.007901316,0.016618421,0.089388154,0.0145460535,0.07450658,0.027907897,0.0061973687,0.0,0.00225,0.0073815794,2.6315789e-05,0.021453947,0.041052632,0.17060527,0.32088158,0.112,0.0,0.005453947,0.00047368422,0.021625001,0.00056578947,0.0006842105
FOXJ1 high Ciliated Cells,0.013724515,0.10368749,0.12686689,0.0715716,0.02453446,0.004480507,0.033141416,0.07334081,0.15273985,0.17983368,0.4300603,0.0044640275,0.0793599,0.45712304,0.0015336833,0.087604105,0.0434822,0.01956149,0.007939926,0.4066528,0.32807088,0.003351143,0.10046166,0.32526377,0.12466648,0.05958733,0.002868488,0.4784289,0.017834708,0.013651474,0.009866818,0.20855983,0.039797727,0.01587892,0.056511387,0.022511074,0.0068928506,0.34814057,0.27278677,0.0991584,0.026429472,0.11473345,0.34785798,0.00043690624,0.003208677,0.0055536455,0.0437445,0.0036730994,0.050603088,0.086331226,0.028337833,0.019184053,0.029489456,0.003013005,0.01438297,0.0042113094,0.0026457848,0.0017339041,0.0010936451
HOPX high Squamous Cells,0.0062176147,0.19193743,0.19452317,0.036942318,0.11715842,0.00047967248,0.023132639,0.12453132,0.33928037,0.36367565,0.0710895,0.042905126,0.4823163,0.07486944,0.14068009,0.2403701,0.08978409,0.114627056,0.002686777,0.09210363,0.18143535,0.00055381295,0.2598672,0.2784176,0.20266072,0.056336973,0.0004106241,0.022733828,0.014985335,0.4417372,0.0030902722,0.115276806,0.05562673,0.03296134,0.19897711,0.124610156,0.25707388,0.118166044,0.18527476,0.08699364,0.035108157,0.08101556,0.13273321,0.0014909565,0.00038516376,0.0011677122,0.018603755,0.00041286458,0.036396652,0.011465292,0.037693907,0.037341736,0.071795054,0.0004391396,0.0025934903,0.0004975966,0.002763158,0.00022466188,0.0001882027
ITGAX high Macrophages,0.019909147,0.15331236,0.13362178,0.035732843,0.098860376,0.008431175,0.13791619,0.04925029,0.08105263,0.09731444,0.072693035,0.011222527,0.08612638,0.036997784,0.0022431077,0.09267809,0.068536006,0.033326104,0.12206165,0.09994505,0.14342828,0.006008049,0.10768652,0.03890423,0.22627917,0.27571622,0.005103865,0.022255639,0.17257832,0.08129747,0.0156056,0.12931655,0.0862165,0.09162763,0.10860059,0.016429776,0.03959948,0.04032991,0.031059138,0.060709223,0.02458719,0.051906932,0.02645002,0.00078176206,0.0058195973,0.008034992,0.02278364,0.0067611337,0.04569043,0.034508627,0.10009109,0.27913508,0.03886519,0.0056205415,0.0037584344,0.0076202527,0.011017206,0.0030875264,0.0018228263
Inflammatory Macrophages,0.010392366,0.26048365,0.16901553,0.020200925,0.13539177,0.0028828827,0.14825155,0.059849456,0.06523945,0.08928817,0.12633356,0.0139147695,0.12941797,0.027486367,0.0019997628,0.14576398,0.1293913,0.028612493,0.15350759,0.1521752,0.2303177,0.0024259128,0.17942508,0.033885136,0.3237921,0.3359335,0.0020045044,0.014233049,0.22891062,0.100720726,0.006833807,0.22164473,0.14781947,0.15904932,0.17244665,0.010790067,0.047841392,0.03220958,0.027747154,0.04670519,0.018332742,0.046760313,0.026145093,0.00034969178,0.0029380037,0.0028384307,0.0133896405,0.002607871,0.029950213,0.031807136,0.124579184,0.33528745,0.032694995,0.00174431,0.003958037,0.0028467283,0.011666073,0.00094831677,0.00051564723
Interferon Responsive Ciliated Cells,0.01111594,0.123633005,0.1391865,0.07045417,0.023886045,0.0029397872,0.035385408,0.0891108,0.16678505,0.1966361,0.41951793,0.004530742,0.09051729,0.43925488,0.0016469199,0.12081894,0.0685181,0.05778191,0.009893526,0.39809936,0.3293568,0.0022404143,0.121866114,0.3314813,0.1404766,0.06282339,0.0019793403,0.4522154,0.018367965,0.028123263,0.007781416,0.21355829,0.04488648,0.017424189,0.059538186,0.0260824,0.016263794,0.33087382,0.2817125,0.14033748,0.047541082,0.119131744,0.35000306,0.0003870961,0.0023257523,0.0040745814,0.043695025,0.0024116854,0.051267765,0.081887156,0.028724497,0.020629117,0.0364301,0.0019643565,0.014900572,0.0027737755,0.0029481226,0.0010316941,0.00064717786
Interferon Responsive Cytotoxic CD8 T Cells,0.0051147817,0.19911908,0.18324654,0.036338188,0.0454302,0.0014371034,0.035838,0.04086133,0.086093694,0.08952967,0.11001586,0.009875887,0.08092479,0.017600784,0.0043495707,0.10742721,0.093278274,0.034187198,0.08975177,0.13363943,0.17339493,0.0014445689,0.12375607,0.02142964,0.32516703,0.10705954,0.0010684957,0.01688783,0.08414987,0.03332587,0.0051278463,0.21077827,0.20710152,0.18042088,0.11012598,0.013576895,0.012591452,0.018067375,0.019206792,0.08275476,0.024649123,0.050807204,0.027080068,0.0009882419,0.02498227,0.0031980218,0.0068159765,0.0019092944,0.03423106,0.03326521,0.21349105,0.0893673,0.030380739,0.0012588653,0.008801792,0.001368981,0.107065134,0.0007633445,0.00054031354
Interferon Responsive Macrophages,0.009768739,0.22843301,0.16370814,0.022057416,0.12440989,0.0010685805,0.13295454,0.0563118,0.07604864,0.08609649,0.12364035,0.01299043,0.1230941,0.026451355,0.0018381181,0.13099681,0.14102472,0.066379584,0.17475677,0.15223683,0.21419457,0.0008692185,0.16187401,0.032332536,0.29789075,0.2961842,0.001076555,0.019413875,0.20775917,0.10064194,0.004952153,0.21202154,0.14696969,0.15000796,0.17125598,0.008253589,0.057607654,0.030354865,0.025833335,0.11841707,0.052137163,0.054385964,0.025665868,0.007308612,0.0027352471,0.0013476874,0.011989634,0.0009848485,0.025877194,0.024852473,0.12787879,0.29819778,0.031000799,0.0006858054,0.004015152,0.0009848486,0.018297449,0.00041068578,0.00012360446
Interferon Responsive Secretory Cells,0.015533943,0.16467963,0.16218917,0.062523834,0.037236843,0.00585431,0.035509154,0.18102689,0.22854501,0.29191455,0.08290427,0.015793288,0.16336384,0.09109458,0.0067753624,0.3239874,0.095872425,0.10000763,0.0051086955,0.08754863,0.1379691,0.004520404,0.20144737,0.27381483,0.16890922,0.050778985,0.0039206715,0.024121853,0.022702135,0.1364426,0.011808734,0.09489703,0.041307207,0.018083524,0.09241991,0.058166478,0.050592106,0.058629867,0.27376047,0.13840389,0.044434592,0.101365365,0.22749715,0.00039569032,0.004778795,0.0055520595,0.02339531,0.0052440884,0.06200324,0.030590199,0.034611937,0.03906274,0.07196987,0.0030520596,0.0064044623,0.005585431,0.0049427915,0.0018735699,0.00091533177
Ionocytes,0.17802697,0.14831059,0.15216264,0.07612914,0.03679132,0.008899221,0.039771136,0.08437838,0.1484547,0.115901925,0.088657506,0.012260255,0.07977114,0.056966428,0.007578486,0.12291849,0.07485622,0.016887613,0.0075570503,0.11324364,0.134598,0.005537858,0.12252011,0.07654696,0.16600646,0.04976784,0.004953502,0.040813547,0.022870664,0.04135767,0.015616344,0.11360375,0.05303456,0.027785914,0.045113772,0.038003232,0.023132173,0.0526451,0.056143977,0.09693015,0.027466033,0.10130755,0.06775689,0.00088345865,0.006327661,0.008895595,0.025371322,0.006664688,0.06440377,0.033116672,0.031670295,0.031822648,0.061856285,0.005536539,0.016115617,0.00731203,0.005035286,0.0033320144,0.0021985886
KRT24 KRT13 high Secretory Cells,0.024839673,0.13032345,0.14400323,0.0657196,0.041509304,0.014956063,0.03488805,0.15119568,0.18029775,0.22231255,0.06362134,0.024847854,0.12042395,0.06339184,0.012527811,0.22226278,0.050871506,0.05160629,0.0038947836,0.06510026,0.104676306,0.00816327,0.15472141,0.19088249,0.13706787,0.040467653,0.0079657845,0.014322707,0.019819109,0.08644807,0.021507198,0.078637004,0.03723731,0.015211976,0.054511312,0.037237074,0.03800248,0.044965647,0.16117673,0.101056136,0.027061792,0.09398967,0.14492264,0.001124147,0.010281154,0.013464756,0.026601851,0.0109332055,0.05973451,0.035586145,0.033110686,0.03222703,0.07013041,0.010288165,0.0046985135,0.013277086,0.0035736654,0.0064310087,0.003469197
MSR1 C1QB high Macrophages,0.017373234,0.2108312,0.16598524,0.026797175,0.11494545,0.005093068,0.12262998,0.06287709,0.07670732,0.093807764,0.11408375,0.013337612,0.10244384,0.02504493,0.008764441,0.13587934,0.092591465,0.030653082,0.168121,0.13967426,0.19307926,0.0031594995,0.15291399,0.03809692,0.2884724,0.2933633,0.003644095,0.015900193,0.19560656,0.07713254,0.011391207,0.20532091,0.14005937,0.15135911,0.14217427,0.013507702,0.032411747,0.028361682,0.028655328,0.061338257,0.015121952,0.048337612,0.03301669,0.00058408215,0.004139923,0.004422336,0.012138961,0.004221759,0.03198973,0.031901475,0.13684691,0.29034176,0.039645378,0.003474005,0.0050369063,0.005,0.018785302,0.0022560975,0.001182606
MUC5AC high Goblet Cells,0.018326549,0.1418322,0.14951955,0.07817894,0.033023946,0.0060791145,0.036957376,0.13995554,0.19264147,0.19128512,0.08310716,0.008126394,0.09405483,0.07164,0.0045030946,0.17946658,0.05064312,0.042729568,0.0044580735,0.08703878,0.101273976,0.0044037136,0.12549022,0.16522288,0.15006134,0.03648152,0.0037578056,0.034624357,0.017671304,0.044145014,0.013213648,0.07968332,0.035324767,0.011887265,0.044013157,0.032580007,0.016038137,0.054256104,0.14372519,0.10875795,0.047286183,0.1113282,0.14020698,0.00086766836,0.0039449986,0.007933904,0.03653908,0.004686803,0.06616498,0.04382499,0.02828794,0.017734723,0.08743533,0.0036705506,0.009811552,0.005519486,0.0025005576,0.0021056812,0.0012841492
Mast Cells,0.017850878,0.2500585,0.19397661,0.034634504,0.06824562,0.008157895,0.06290936,0.069912285,0.082894735,0.07467836,0.14466375,0.020438597,0.098859645,0.031812865,0.0062573096,0.15235381,0.099298246,0.029561404,0.0753655,0.1664766,0.21824561,0.0045906436,0.16309942,0.034239765,0.3069883,0.1630263,0.0044590645,0.015263159,0.103304096,0.05520468,0.010263158,0.24631579,0.16638888,0.16685672,0.121359654,0.0156140365,0.019985382,0.023552634,0.033918127,0.0599269,0.014692982,0.047046784,0.036827486,5.847953e-05,0.0077485386,0.0065643275,0.014444444,0.0060818717,0.037821636,0.037777778,0.11758772,0.13273391,0.037090644,0.005862573,0.0060233916,0.011432748,0.032763157,0.0035964912,0.0016959064
Mitotic Basal Cells,0.028795015,0.151621,0.15965423,0.07771518,0.03929561,0.013831125,0.039486546,0.12293629,0.13410714,0.12249159,0.09317521,0.02140285,0.07231253,0.051087752,0.004668085,0.14722447,0.053383954,0.021827266,0.009466759,0.10156856,0.13022655,0.0076746144,0.13963792,0.09808073,0.1551949,0.069460824,0.007860606,0.031270776,0.026483973,0.031441435,0.022154234,0.11438613,0.04585477,0.016063515,0.034239713,0.03086763,0.017401563,0.046799567,0.07118322,0.09801345,0.021738226,0.09914424,0.08116789,0.008603087,0.010473883,0.014233281,0.025266621,0.009816482,0.059928276,0.073381975,0.031966757,0.030352693,0.113715865,0.010689057,0.037429266,0.012199743,0.0040507517,0.0071685794,0.0043416102
Plasmacytoid DCs,0.010303644,0.22568825,0.19597165,0.03332996,0.062398788,0.0017813765,0.05598178,0.066072874,0.07854251,0.07868421,0.14086032,0.016497975,0.08537449,0.023046557,0.0067307693,0.13867408,0.10813765,0.023147773,0.1412247,0.1717409,0.21371458,0.0019534414,0.15402834,0.022540487,0.29418018,0.15291499,0.0009008097,0.021012146,0.12169028,0.036710527,0.006710526,0.24312752,0.15593117,0.15183198,0.12380567,0.011163969,0.018967612,0.017874494,0.020668017,0.07446356,0.034635626,0.051417008,0.028218623,0.002125506,0.0026518218,0.0036639674,0.014321862,0.0013259109,0.029190283,0.03285425,0.14205466,0.14388664,0.04884615,0.0012044534,0.0073076924,0.0017105264,0.028734816,0.00076923077,0.0017004049
